param_name,fisher_value,zone,dataset
model.layers.26.mlp.gate_proj.weight,0.0031417654546809595,C,gsm8k
model.layers.11.self_attn.q_proj.weight,0.0029925253418999396,C,gsm8k
model.layers.25.self_attn.o_proj.weight,0.00294995698383597,C,gsm8k
model.layers.7.mlp.up_proj.weight,0.0028533899486925898,C,gsm8k
model.layers.9.mlp.down_proj.weight,0.002838455817709473,C,gsm8k
model.layers.22.mlp.down_proj.weight,0.002824063483634139,C,gsm8k
model.layers.5.mlp.down_proj.weight,0.0028153629309599637,C,gsm8k
model.layers.25.self_attn.q_proj.weight,0.002800781580996651,C,gsm8k
model.layers.26.mlp.up_proj.weight,0.002786131675596456,C,gsm8k
model.layers.8.mlp.up_proj.weight,0.00278260207172328,C,gsm8k
model.layers.25.mlp.gate_proj.weight,0.0027806398429675028,C,gsm8k
model.layers.10.mlp.down_proj.weight,0.002768430000742228,C,gsm8k
model.layers.21.mlp.down_proj.weight,0.002762423952390236,C,gsm8k
model.layers.4.mlp.gate_proj.weight,0.0027534974674381374,C,gsm8k
model.layers.11.mlp.down_proj.weight,0.002749609778068892,C,gsm8k
model.layers.3.mlp.down_proj.weight,0.0027373790017009014,C,gsm8k
model.layers.23.mlp.down_proj.weight,0.002704665572612915,C,gsm8k
model.layers.20.self_attn.q_proj.weight,0.002701839528678344,C,gsm8k
model.layers.18.self_attn.q_proj.weight,0.0026962247882238444,C,gsm8k
model.layers.19.mlp.down_proj.weight,0.002685152755323846,C,gsm8k
model.layers.22.mlp.up_proj.weight,0.002628836856729322,C,gsm8k
model.layers.24.mlp.gate_proj.weight,0.0026285688339460953,C,gsm8k
model.layers.19.mlp.up_proj.weight,0.002601011182377988,C,gsm8k
model.layers.0.mlp.down_proj.weight,0.0025958425627929196,C,gsm8k
model.layers.14.self_attn.q_proj.weight,0.00259284981257224,C,gsm8k
model.layers.5.mlp.gate_proj.weight,0.0025794207145584855,C,gsm8k
model.layers.11.mlp.up_proj.weight,0.0025415463827206017,C,gsm8k
model.layers.23.mlp.gate_proj.weight,0.0025381140297516445,C,gsm8k
model.layers.22.mlp.gate_proj.weight,0.0025214130746462615,C,gsm8k
model.layers.2.mlp.gate_proj.weight,0.002517210370721538,C,gsm8k
model.layers.24.mlp.down_proj.weight,0.002470323379839101,C,gsm8k
model.layers.12.mlp.down_proj.weight,0.0024623282489907674,C,gsm8k
model.layers.25.mlp.up_proj.weight,0.002458907255459053,C,gsm8k
model.layers.9.mlp.up_proj.weight,0.002443142240281304,C,gsm8k
model.layers.21.self_attn.q_proj.weight,0.0024375815366208067,C,gsm8k
model.layers.9.self_attn.q_proj.weight,0.0024150095181691236,C,gsm8k
model.layers.10.mlp.up_proj.weight,0.0024134889401163187,C,gsm8k
model.layers.25.mlp.down_proj.weight,0.002396803953767327,C,gsm8k
model.layers.12.self_attn.q_proj.weight,0.002386990985921026,C,gsm8k
model.layers.10.self_attn.q_proj.weight,0.0023855565461872175,C,gsm8k
model.layers.6.mlp.gate_proj.weight,0.002384924313901138,C,gsm8k
model.layers.3.mlp.gate_proj.weight,0.0023829027854844753,C,gsm8k
model.layers.23.mlp.up_proj.weight,0.002382046057997892,C,gsm8k
model.layers.21.mlp.up_proj.weight,0.0023793388589486617,C,gsm8k
model.layers.22.self_attn.q_proj.weight,0.002373560206251568,C,gsm8k
model.layers.12.mlp.up_proj.weight,0.0023322199813264888,C,gsm8k
model.layers.7.mlp.gate_proj.weight,0.002316716798759444,C,gsm8k
model.layers.15.self_attn.q_proj.weight,0.0023080219996245432,C,gsm8k
model.layers.18.mlp.up_proj.weight,0.002228633834874927,C,gsm8k
model.layers.17.mlp.up_proj.weight,0.0022273786858022504,C,gsm8k
model.layers.24.mlp.up_proj.weight,0.0022219323339716843,C,gsm8k
model.layers.8.mlp.gate_proj.weight,0.002206552459786811,C,gsm8k
model.layers.16.mlp.up_proj.weight,0.002200336469892742,C,gsm8k
