param_name,fisher_value,dataset
model.layers.7.mlp.up_proj.weight,0.0028533899486925898,gsm8k
model.layers.9.mlp.down_proj.weight,0.002838455817709473,gsm8k
model.layers.22.mlp.down_proj.weight,0.002824063483634139,gsm8k
model.layers.5.mlp.down_proj.weight,0.0028153629309599637,gsm8k
model.layers.25.self_attn.q_proj.weight,0.002800781580996651,gsm8k
model.layers.26.mlp.up_proj.weight,0.002786131675596456,gsm8k
model.layers.8.mlp.up_proj.weight,0.00278260207172328,gsm8k
model.layers.25.mlp.gate_proj.weight,0.0027806398429675028,gsm8k
model.layers.10.mlp.down_proj.weight,0.002768430000742228,gsm8k
model.layers.21.mlp.down_proj.weight,0.002762423952390236,gsm8k
model.layers.4.mlp.gate_proj.weight,0.0027534974674381374,gsm8k
model.layers.11.mlp.down_proj.weight,0.002749609778068892,gsm8k
model.layers.3.mlp.down_proj.weight,0.0027373790017009014,gsm8k
model.layers.23.mlp.down_proj.weight,0.002704665572612915,gsm8k
model.layers.20.self_attn.q_proj.weight,0.002701839528678344,gsm8k
model.layers.18.self_attn.q_proj.weight,0.0026962247882238444,gsm8k
model.layers.19.mlp.down_proj.weight,0.002685152755323846,gsm8k
model.layers.22.mlp.up_proj.weight,0.002628836856729322,gsm8k
model.layers.24.mlp.gate_proj.weight,0.0026285688339460953,gsm8k
model.layers.19.mlp.up_proj.weight,0.002601011182377988,gsm8k
model.layers.0.mlp.down_proj.weight,0.0025958425627929196,gsm8k
model.layers.14.self_attn.q_proj.weight,0.00259284981257224,gsm8k
model.layers.5.mlp.gate_proj.weight,0.0025794207145584855,gsm8k
model.layers.11.mlp.up_proj.weight,0.0025415463827206017,gsm8k
model.layers.23.mlp.gate_proj.weight,0.0025381140297516445,gsm8k
model.layers.22.mlp.gate_proj.weight,0.0025214130746462615,gsm8k
model.layers.2.mlp.gate_proj.weight,0.002517210370721538,gsm8k
model.layers.24.mlp.down_proj.weight,0.002470323379839101,gsm8k
model.layers.12.mlp.down_proj.weight,0.0024623282489907674,gsm8k
model.layers.25.mlp.up_proj.weight,0.002458907255459053,gsm8k
model.layers.9.mlp.up_proj.weight,0.002443142240281304,gsm8k
model.layers.21.self_attn.q_proj.weight,0.0024375815366208067,gsm8k
model.layers.9.self_attn.q_proj.weight,0.0024150095181691236,gsm8k
model.layers.10.mlp.up_proj.weight,0.0024134889401163187,gsm8k
model.layers.25.mlp.down_proj.weight,0.002396803953767327,gsm8k
model.layers.12.self_attn.q_proj.weight,0.002386990985921026,gsm8k
model.layers.10.self_attn.q_proj.weight,0.0023855565461872175,gsm8k
model.layers.6.mlp.gate_proj.weight,0.002384924313901138,gsm8k
model.layers.3.mlp.gate_proj.weight,0.0023829027854844753,gsm8k
model.layers.23.mlp.up_proj.weight,0.002382046057997892,gsm8k
model.layers.21.mlp.up_proj.weight,0.0023793388589486617,gsm8k
model.layers.22.self_attn.q_proj.weight,0.002373560206251568,gsm8k
model.layers.12.mlp.up_proj.weight,0.0023322199813264888,gsm8k
model.layers.7.mlp.gate_proj.weight,0.002316716798759444,gsm8k
model.layers.15.self_attn.q_proj.weight,0.0023080219996245432,gsm8k
model.layers.18.mlp.up_proj.weight,0.002228633834874927,gsm8k
model.layers.17.mlp.up_proj.weight,0.0022273786858022504,gsm8k
model.layers.24.mlp.up_proj.weight,0.0022219323339716843,gsm8k
model.layers.8.mlp.gate_proj.weight,0.002206552459786811,gsm8k
model.layers.16.mlp.up_proj.weight,0.002200336469892742,gsm8k
model.layers.19.self_attn.q_proj.weight,0.0021902827650895538,gsm8k
model.layers.19.mlp.gate_proj.weight,0.0021804844674685833,gsm8k
model.layers.13.mlp.down_proj.weight,0.0021792848647237406,gsm8k
model.layers.18.mlp.down_proj.weight,0.002172010249220572,gsm8k
model.layers.17.mlp.down_proj.weight,0.0021711226819813114,gsm8k
model.layers.20.mlp.down_proj.weight,0.0021704725475804785,gsm8k
model.layers.24.self_attn.q_proj.weight,0.002165754129994942,gsm8k
model.layers.21.mlp.gate_proj.weight,0.002163758867633684,gsm8k
model.layers.16.mlp.down_proj.weight,0.0021574446180541904,gsm8k
